,Name,Category,Effect
183,Croagunk Poison,General items,"Material obtained after defeating/catching Croagunk, used in TM crafting."
184,Crunchy Salt,General items,
185,Cryogonal Ice,General items,"Material obtained after defeating/catching Cryogonal, used in TM crafting."
186,Cubchoo Fur,General items,"Material obtained after defeating/catching Cubchoo, used in TM crafting."
187,Cucumber,None,A tart and bitter ingredient. Using it together with rich-tasting ingredients in a sandwich will really make the most of a cucumber’s fresh-veggie aroma.
188,Cufant Tarnish,General items,"Material obtained after defeating/catching Cufant, used in TM crafting."
189,Curry Powder,None,"A very spicy condiment. Just watch out—use too much of this potent seasoning, and it’ll cancel out the other flavors."
190,Custap Berry,Berries,Holder can move first when HP is low.
191,Cyber Ball,None,"A ball themed after hardcore gaming PCs. It may not light up like its inspiration, but it still stands out."
192,Cyclizar Scales,General items,"Material obtained after defeating/catching Cyclizar, used in TM crafting."
193,Damp Mulch,General items,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.
194,Damp Rock,Hold items,A Pokémon held item that extends the duration of the move Rain Dance used by the holder.
195,Dark Gem,Hold items,Increases the power of a Dark-type move only once.
196,Dark Memory,Hold items,Changes Silvally and its move Multi-Attack to Dark type.
197,Dark Tera Shard,None,Changes a Pokémon's Tera Type to Dark.
198,Darkinium Z,Hold items,"Allows the use of Black Hole Eclipse, the Dark type Z-Move."
199,Dawn Stone,General items,Evolves certain species of Pokémon.
200,Dazzling Honey,General items,
201,Decidium Z,Hold items,"Allows Decidueye to upgrade Spirit Shackle to a Z-Move, Sinister Arrow Raid."
202,Dedenne Fur,General items,"Material obtained after defeating/catching Dedenne, used in TM crafting."
203,Deep Sea Scale,Hold items,Increases Special Defense when held by Clamperl. Evolves Clamperl when traded holding the item.
204,Deep Sea Tooth,Hold items,Increases Special Attack when held by Clamperl. Evolves Clamperl when traded holding the item.
205,Deerling Hair,General items,"Material obtained after defeating/catching Deerling, used in TM crafting."
206,Deino Scales,General items,"Material obtained after defeating/catching Deino, used in TM crafting."
207,Delibird Parcel,General items,"Material obtained after defeating/catching Delibird, used in TM crafting."
208,Destiny Knot,Hold items,"A long, thin, bright-red string to be held by a Pokémon. If the holder becomes infatuated, the foe does too."
209,Diamond Bottle,None,"A diamond-patterned bottle that’s small, light, and even comes with a cup. The detachable strap makes it handy for walking around with."
210,Diamond Pattern Cup,None,"A cup that’s as good for using at home as on a picnic. It’s light, sturdy, and stacks well, so it’s a cinch to pack up and carry around."
211,Diamond Tablecloth,None,"A tablecloth with a fashionable diamond pattern. It’s great at repelling water and mold, and stains and smudges wipe right off."
212,Diancite,Hold items,Enables Diancie to Mega Evolve during battle.
213,Digger Drill,None,A single-use drill to bore a hole in the wall for your Secret Base.
214,Diglett Dirt,General items,"Material obtained after defeating/catching Diglett, used in TM crafting."
215,Dire Hit,Battle items,Raises critical-hit ratio of a Pokémon in battle.
216,Dire Hit 2,Battle items,Raises a Pokémon's critical-hit ratio in battle.
217,Dire Hit 3,Battle items,Greatly raises a Pokémon's critical-hit ratio in battle.
218,Direshroom,General items,
219,Discount Coupon,General items,This special coupon allows you to buy items at a discount when you are shopping at a boutique.
220,Discovery Slate,None,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Discovery Room at Ramanas Park.
221,Distortion Slate,None,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Distortion Room at Ramanas Park.
222,Ditto Goo,General items,"Material obtained after defeating/catching Ditto, used in TM crafting."
223,Dive Ball,Pokeballs,Catches Pokémon that live in water with 3.5x the rate of a standard Poké Ball.
224,DNA Splicers,General items,A splicer that fuses Kyurem and a certain Pokémon. They are said to have been one in the beginning.
225,Dome Fossil,General items,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a shell.
226,Dondozo Whisker,General items,"Material obtained after defeating/catching Dondozo, used in TM crafting."
227,Doppel Bonnets,General items,
228,Douse Drive,Hold items,Changes Techno Blast to a Water-type move when held by Genesect.
229,Draco Plate,Hold items,Increases power of Dragon-type moves. Changes Arceus' type to Dragon.
230,Dragon Fang,Hold items,Increases the power of Dragon-type moves.
231,Dragon Gem,Hold items,Increases the power of a Dragon-type move only once.
232,Dragon Memory,Hold items,Changes Silvally and its move Multi-Attack to Dragon type.
233,Dragon Scale,General items,Evolves Seadra when traded holding the item.
234,Dragon Tera Shard,None,Changes a Pokémon's Tera Type to .
235,Dragonium Z,Hold items,"Allows the use of Devastating Drake, the Dragon type Z-Move."
236,Dratini Scales,General items,"Material obtained after defeating/catching Dratini, used in TM crafting."
237,Dread Plate,Hold items,Increases power of Dark-type moves. Changes Arceus' type to Dark.
238,Dream Ball,Pokeballs,A special Poké Ball that appears out of nowhere in a bag at the Entree Forest. It can catch any Pokémon.
239,Dreepy Powder,General items,"Material obtained after defeating/catching Dreepy, used in TM crafting."
240,Drifloon Gas,General items,"Material obtained after defeating/catching Drifloon, used in TM crafting."
241,Dropped Item,Hold items,The Xtransceiver found at the Nimbasa City amusement park. It seems it belongs to a boy.
242,Drowzee Fur,General items,"Material obtained after defeating/catching Drowzee, used in TM crafting."
243,Dubious Disc,General items,Evolves Porygon2 when traded holding the item.
244,Dunsparce Scales,General items,"Material obtained after defeating/catching Dunsparce, used in TM crafting."
245,Durin Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
246,Dusk Ball,Pokeballs,Catches Pokémon at night or in caves with 3x the rate of a standard Poké Ball.
247,Dusk Stone,General items,Evolves certain species of Pokémon.
248,Dynamax Candy,Medicine,Raises Dynamax Level.
249,Dynite Ore,General items,Mysterious ore that can be obtained in the Max Lair. Something good will happen if you give it to a collector in the Crown Tundra.
250,Earth Plate,Hold items,Increases power of Ground-type moves. Changes Arceus' type to Ground.
251,Eevee Cup,None,"A cup for big-time Pokémon fans. Kids will happily drink out of it, making it a boon to parents."
252,Eevee Fur,General items,"Material obtained after defeating/catching Eevee, used in TM crafting."
253,Eevium Z,Hold items,"Allows Eevee to upgrade Last Resort to a Z-Move, Extreme Evoboost."
254,Egg,None,An ingredient with a touch of saltiness. It’s full of nutrients and can be enjoyed with all sorts of seasonings.
255,Eiscue Down,General items,"Material obtained after defeating/catching Eiscue, used in TM crafting."
256,Eject Button,Hold items,"If the holder is hit by an attack, it will switch with another Pokémon in your party."
257,Eject Pack,Hold items,The Pokémon switches out if its stats are lowered.
258,Electirizer,General items,Evolves Electabuzz when traded holding the item.
259,Electric Gem,Hold items,Increases the power of an Electric-type move only once.
260,Electric Memory,Hold items,Changes Silvally and its move Multi-Attack to Electric type.
261,Electric Seed,Hold items,An item to be held by a Pokémon. It boosts Defense on Electric Terrain. It can only be used once.
262,Electric Tera Shard,None,Changes a Pokémon's Tera Type to Electric.
263,Electrium Z,Hold items,"Allows the use of Gigavolt Havoc, the Electric type Z-Move."
264,Elevator Key,Hold items,A card key that activates the elevator in Lysandre Labs. It is emblazoned with Team Flare's logo.
265,Elixir,Medicine,Restores 10 PP to all moves of a Pokémon.
266,Energy Powder,Medicine,Restores 60 HP but lowers Friendship.
267,Energy Root,Medicine,Restores 120 HP but lowers Friendship.
268,Enigma Berry,Berries,"If held by a Pokémon, it restores its HP if it is hit by any supereffective attack."
269,Escape Rope,General items,"A long, durable rope. Use it to escape instantly from a cave or a dungeon."
270,Ether,Medicine,Restores 10 PP to one move of a Pokémon.
271,Everstone,Hold items,An item to be held by a Pokémon. The Pokémon holding this peculiar stone is prevented from evolving.
272,Eviolite,Hold items,"A mysterious evolutionary lump. When held, it raises the Defense and Sp. Def of a Pokémon that can still evolve."
273,Exercise Ball,None,"A big ball designed for exercising. It can work as a seat if you get tired, too."
274,Exp. Candy L,Medicine,"Increases the Pokémon's Exp points by 10,000."
275,Exp. Candy M,Medicine,"Increases the Pokémon's Exp points by 3,000."
276,Exp. Candy S,Medicine,Increases the Pokémon's Exp points by 800.
277,Exp. Candy XL,Medicine,"Increases the Pokémon's Exp. Points by 30,000."
278,Exp. Candy XS,Medicine,Increases the Pokémon's Exp points by 100.
279,Exp. Share,Hold items,An item to be held by a Pokémon. The holder gets a share of a battle's Exp. Points without battling.
280,Expert Belt,Hold items,Increases the power of super-effective moves.
281,Fairium Z,Hold items,"Allows the use of Twinkle Tackle, the Fairy type Z-Move."
282,Fairy Gem,General items,Increases the power of a Fairy-type move only once.
283,Fairy Memory,Hold items,Changes Silvally and its move Multi-Attack to Fairy type.
284,Fairy Tera Shard,None,Changes a Pokémon's Tera Type to Fairy.
285,Falinks Sweat,General items,"Material obtained after defeating/catching Falinks, used in TM crafting."
286,Fancy Apple,General items,One of the many ingredients that can be used for cooking at your camp. An apple chosen above others. It has spectacular form and a brilliant sheen.
287,Fast Ball,Pokeballs,A Poké Ball that makes it easier to catch Pokémon which are quick to run away.
288,Feather Ball,Pokeballs,
289,Festival Ticket,General items,A ticket that allows you to host a mission in Festival Plaza.
290,Fidough Fur,General items,"Material obtained after defeating/catching Fidough, used in TM crafting."
291,Fighting Gem,Hold items,Increases the power of a Fighting-type move only once.
292,Fighting Memory,Hold items,Changes Silvally and its move Multi-Attack to Fighting type.
293,Fighting Tera Shard,None,Changes a Pokémon's Tera Type to Fighting.
294,Fightinium Z,Hold items,"Allows the use of All-Out Pummeling, the Fighting type Z-Move."
295,Figy Berry,Berries,"Restores HP if it's low, but may cause confusion."
296,Fine Remedy,Medicine,
297,Finizen Mucus,General items,"Material obtained after defeating/catching Finizen, used in TM crafting."
298,Finneon Scales,General items,"Material obtained after defeating/catching Finneon, used in TM crafting."
299,Fire Gem,Hold items,Increases the power of a Fire-type move only once.
300,Fire Memory,Hold items,Changes Silvally and its move Multi-Attack to Fire type.
301,Fire Pattern Cup,None,"A cup that’s as good for using at home as on a picnic. It’s light, sturdy, and stacks well, so it’s a cinch to pack up and carry around."
302,Fire Stone,General items,Evolves certain species of Pokémon.
303,Fire Tera Shard,None,Changes a Pokémon's Tera Type to Fire.
304,Firium Z,Hold items,"Allows the use of Inferno Overdrive, the Fire type Z-Move."
305,Fist Plate,Hold items,Increases power of Fighting-type moves. Changes Arceus' type to Fighting.
306,Flabébé Pollen,General items,"Material obtained after defeating/catching Flabébé, used in TM crafting."
307,Flame Orb,Hold items,An item to be held by a Pokémon. It is a bizarre orb that inflicts a burn on the holder in battle.
308,Flame Plate,Hold items,Increases power of Fire-type moves. Changes Arceus' type to Fire.
309,Flamigo Down,General items,"Material obtained after defeating/catching Flamigo, used in TM crafting."
310,Fletchling Feather,General items,"Material obtained after defeating/catching Fletchling, used in TM crafting."
311,Flittle Down,General items,"Material obtained after defeating/catching Flittle, used in TM crafting."
312,Float Stone,Hold items,A very light stone. It reduces the weight of a Pokémon when held.
313,Flower Pattern Cup,None,"A cup for kids to use at picnics. It’s made of light but strong material. It’s stackable, which makes it handy for carrying around."
314,Flower Sweet,Hold items,Evolves Milcery into Flower Flavor Alcremie.
315,Fluffy Tail,General items,An item that attracts Pokémon. Use it to flee from any battle with a wild Pokémon.
316,Flying Gem,Hold items,Increases the power of a Flying-type move only once.
317,Flying Memory,Hold items,Changes Silvally and its move Multi-Attack to Flying type.
318,Flying Tera Shard,None,Changes a Pokémon's Tera Type to Flying.
319,Flyinium Z,Hold items,"Allows the use of Supersonic Skystrike, the Flying type Z-Move."
320,Focus Band,Hold items,"An item to be held by a Pokémon. The holder may endure a potential KO attack, leaving it with just 1 HP."
321,Focus Sash,Hold items,"An item to be held by a Pokémon. If it has full HP, the holder will endure one potential KO attack, leaving 1 HP."
322,Fomantis Leaf,General items,"Material obtained after defeating/catching Fomantis, used in TM crafting."
323,Foongus Spores,General items,"Material obtained after defeating/catching Foongus, used in TM crafting."
324,Fossilized Bird,General items,The fossil of an ancient Pokémon that once soared through the sky. What it looked like is a mystery.
325,Fossilized Dino,General items,The fossil of an ancient Pokémon that once lived in the sea. What it looked like is a mystery.
326,Fossilized Drake,General items,The fossil of an ancient Pokémon that once roamed the land. What it looked like is a mystery.
327,Fossilized Fish,General items,The fossil of an ancient Pokémon that once lived in the sea. What it looked like is a mystery.
328,Fresh Cream,General items,One of the many ingredients that can be used for cooking at your camp. Add some whipped cream to a spicy curry to give it some sweetness.
329,Fresh-Start Mochi,Medicine,Resets a Pokémon's EVs.
330,Fresh Water,Medicine,Restores 30 HP.
331,Fried Fillet,None,"When used in a sandwich, this very salty and bitter ingredient is at its best paired with sour seasonings."
332,Fried Food,General items,"One of the many ingredients that can be used for cooking at your camp. It’s been a while since it was fried, so it’s gotten greasy."
333,Friend Ball,Pokeballs,A Poké Ball that makes caught Pokémon more friendly.
334,Frigibax Scales,General items,"Material obtained after defeating/catching Frigibax, used in TM crafting."
335,Fruit Bunch,General items,One of the many ingredients that can be used for cooking at your camp. The syrupy fruits give off a strong tropical feel.
336,Full Heal,Medicine,Cures a Pokémon of any status condition.
