pokemon_id,team_id,regulation,game_name,pokemon_name,type1,type2,ability,teratype,nature,bst,hp,atk,def,sp_atk,sp_def,spd
100,17,Regulation Set A,Volcarona (M),Volcarona,Bug,Fire,Flame Body,Fire,Bold,550,85,60,65,135,105,100
101,17,Regulation Set A,Baxcalibur (F),Baxcalibur,Dragon,Ice,Thermal Exchange,Steel,Adamant,600,115,145,92,75,86,87
102,18,Regulation Set A,Armarouge (M),Armarouge,Fire,Psychic,Weak Armor,Dark,Modest,525,85,60,100,125,80,75
103,18,Regulation Set A,Indeedee-F,Indeedee (Female),Psychic,Normal,Psychic Surge,Ghost,Calm,475,70,55,65,95,105,85
104,18,Regulation Set A,Sylveon (M),Sylveon,Fairy,,Pixilate,Fire,Modest,525,95,65,65,110,130,60
105,18,Regulation Set A,Salamence (M),Salamence,Dragon,Flying,Intimidate,Steel,Jolly,600,95,135,80,110,80,100
106,18,Regulation Set A,Garchomp (M),Garchomp,Dragon,Ground,Rough Skin,Steel,Adamant,600,108,130,95,80,85,102
107,18,Regulation Set A,Palafin (M),Palafin (Hero Form),Water,,Zero to Hero,Water,Jolly,650,100,160,97,106,87,100
108,19,Regulation Set A,Dondozo (M),Dondozo,Water,,Unaware,Grass,Adamant,530,150,100,115,65,65,35
109,19,Regulation Set A,Dragonite (F),Dragonite,Dragon,Flying,Multiscale,Flying,Adamant,600,91,134,95,100,100,80
110,19,Regulation Set A,Meowscarada (F),Meowscarada,Grass,Dark,Overgrow,Grass,Jolly,530,76,110,70,81,70,123
111,19,Regulation Set A,Tatsugiri-Stretchy (F),Tatsugiri (Stretchy Form),Dragon,Water,Commander,Water,Timid,475,68,50,60,120,95,82
112,19,Regulation Set A,Kingambit (F),Kingambit,Dark,Steel,Defiant,Dark,Adamant,550,100,135,120,60,85,50
113,19,Regulation Set A,Volcarona (M),Volcarona,Bug,Fire,Flame Body,Ghost,Bold,550,85,60,65,135,105,100
115,20,Regulation Set A,Dondozo (F),Dondozo,Water,,Unaware,Grass,Relaxed,530,150,100,115,65,65,35
116,20,Regulation Set A,Meowscarada (F),Meowscarada,Grass,Dark,Overgrow,Grass,Jolly,530,76,110,70,81,70,123
117,20,Regulation Set A,Dragonite (M),Dragonite,Dragon,Flying,Multiscale,Normal,Adamant,600,91,134,95,100,100,80
118,20,Regulation Set A,Gholdengo,Gholdengo,Steel,Ghost,Good as Gold,Steel,Timid,550,87,60,95,133,91,84
119,20,Regulation Set A,Arcanine (M),Arcanine,Fire,,Intimidate,Normal,Adamant,555,90,110,80,100,80,95
120,21,Regulation Set A,Tatsugiri-Droopy (F),Tatsugiri (Droopy Form),Dragon,Water,Commander,Dragon,Modest,475,68,50,60,120,95,82
121,21,Regulation Set A,Dondozo (M),Dondozo,Water,,Unaware,Flying,Adamant,530,150,100,115,65,65,35
122,21,Regulation Set A,Glimmora (F),Glimmora,Rock,Poison,Toxic Debris,Grass,Timid,525,83,55,90,130,81,86
123,21,Regulation Set A,Volcarona (F),Volcarona,Bug,Fire,Flame Body,Dark,Modest,550,85,60,65,135,105,100
124,21,Regulation Set A,Dragonite (F),Dragonite,Dragon,Flying,Multiscale,Flying,Adamant,600,91,134,95,100,100,80
125,21,Regulation Set A,Mimikyu (F),Mimikyu,Ghost,Fairy,Disguise,Ghost,Adamant,476,55,90,80,50,105,96
126,22,Regulation Set A,Dragonite (M),Dragonite,Dragon,Flying,Multiscale,Flying,Adamant,600,91,134,95,100,100,80
127,22,Regulation Set A,Meowscarada (M),Meowscarada,Grass,Dark,Overgrow,Dark,Jolly,530,76,110,70,81,70,123
128,22,Regulation Set A,Talonflame (F),Talonflame,Fire,Flying,Gale Wings,Ghost,Jolly,499,78,81,71,74,69,126
129,22,Regulation Set A,Gholdengo,Gholdengo,Steel,Ghost,Good as Gold,Water,Modest,550,87,60,95,133,91,84
130,22,Regulation Set A,Dondozo (F),Dondozo,Water,,Unaware,Flying,Jolly,530,150,100,115,65,65,35
131,22,Regulation Set A,Tatsugiri-Stretchy (F),Tatsugiri (Stretchy Form),Dragon,Water,Storm Drain,Dragon,Timid,475,68,50,60,120,95,82
132,23,Regulation Set A,Volcarona (F),Volcarona,Bug,Fire,Flame Body,Water,Bold,550,85,60,65,135,105,100
133,23,Regulation Set A,Meowscarada (M),Meowscarada,Grass,Dark,Overgrow,Grass,Jolly,530,76,110,70,81,70,123
134,23,Regulation Set A,Indeedee-F,Indeedee (Female),Psychic,Normal,Psychic Surge,Fairy,Modest,475,70,55,65,95,105,85
135,23,Regulation Set A,Armarouge (F),Armarouge,Fire,Psychic,Weak Armor,Psychic,Modest,525,85,60,100,125,80,75
136,23,Regulation Set A,Garchomp (M),Garchomp,Dragon,Ground,Rough Skin,Ground,Jolly,600,108,130,95,80,85,102
137,23,Regulation Set A,Baxcalibur (F),Baxcalibur,Dragon,Ice,Thermal Exchange,Fairy,Adamant,600,115,145,92,75,86,87
138,24,Regulation Set A,Pelipper,Pelipper,Water,Flying,Drizzle,Grass,Modest,440,60,50,100,95,70,65
139,24,Regulation Set A,CAPTAIN GOLD (Gholdengo),Gholdengo,Steel,Ghost,Good as Gold,Steel,Timid,550,87,60,95,133,91,84
140,24,Regulation Set A,E HERO CLAYMAN (Amoonguss),Amoonguss,Grass,Poison,Regenerator,Dark,Bold,464,114,85,70,85,80,30
141,24,Regulation Set A,Kingambit,Kingambit,Dark,Steel,Defiant,Grass,Adamant,550,100,135,120,60,85,50
142,24,Regulation Set A,E HERO NEOS (Palafin),Palafin (Hero Form),Water,,Zero to Hero,Grass,Adamant,650,100,160,97,106,87,100
143,24,Regulation Set A,EHERO STRATOS (Salamence),Salamence,Dragon,Flying,Intimidate,Steel,Modest,600,95,135,80,110,80,100
144,25,Regulation Set A,Intro Bonito (Talonflame) (M),Talonflame,Fire,Flying,Gale Wings,Ghost,Jolly,499,78,81,71,74,69,126
145,25,Regulation Set A,Sick Beat (Sylveon) (M),Sylveon,Fairy,,Pixilate,Fire,Modest,525,95,65,65,110,130,60
146,25,Regulation Set A,Trampoline (Meowscarada) (M),Meowscarada,Grass,Dark,Overgrow,Grass,Jolly,530,76,110,70,81,70,123
147,25,Regulation Set A,Picture This (Glimmora) (M),Glimmora,Rock,Poison,Toxic Debris,Water,Timid,525,83,55,90,130,81,86
148,25,Regulation Set A,Only Acting (Dondozo) (M),Dondozo,Water,,Unaware,Flying,Jolly,530,150,100,115,65,65,35
150,26,Regulation Set A,Pelipper,Pelipper,Water,Flying,Drizzle,Grass,Bold,440,60,50,100,95,70,65
151,26,Regulation Set A,Palafin,Palafin (Hero Form),Water,,Zero to Hero,Water,Adamant,650,100,160,97,106,87,100
152,26,Regulation Set A,Amoonguss,Amoonguss,Grass,Poison,Regenerator,Ghost,Sassy,464,114,85,70,85,80,30
153,26,Regulation Set A,Gholdengo,Gholdengo,Steel,Ghost,Good as Gold,Steel,Modest,550,87,60,95,133,91,84
154,26,Regulation Set A,Kingambit,Kingambit,Dark,Steel,Defiant,Ghost,Adamant,550,100,135,120,60,85,50
155,26,Regulation Set A,Dragonite,Dragonite,Dragon,Flying,Multiscale,Flying,Modest,600,91,134,95,100,100,80
156,27,Regulation Set A,Baxcalibur (F),Baxcalibur,Dragon,Ice,Thermal Exchange,Water,Adamant,600,115,145,92,75,86,87
157,27,Regulation Set A,Salazzle,Salazzle,Poison,Fire,Oblivious,Fire,Timid,480,68,64,60,111,60,117
158,27,Regulation Set A,Tauros-Paldea-Water,Tauros (Aqua Breed),Fighting,Water,Intimidate,Fire,Jolly,490,75,110,105,30,70,100
159,27,Regulation Set A,Gholdengo,Gholdengo,Steel,Ghost,Good as Gold,Flying,Modest,550,87,60,95,133,91,84
160,27,Regulation Set A,Hydreigon (M),Hydreigon,Dark,Dragon,Levitate,Fire,Timid,600,92,105,90,125,90,98
161,27,Regulation Set A,Amoonguss (M),Amoonguss,Grass,Poison,Regenerator,Dark,Relaxed,464,114,85,70,85,80,30
162,28,Regulation Set A,Talonflame (F),Talonflame,Fire,Flying,Gale Wings,Ghost,Jolly,499,78,81,71,74,69,126
163,28,Regulation Set A,Pawmot (M),Pawmot,Electric,Fighting,Natural Cure,Electric,Jolly,490,70,115,70,70,60,105
164,28,Regulation Set A,Gholdengo,Gholdengo,Steel,Ghost,Good as Gold,Steel,Timid,550,87,60,95,133,91,84
165,28,Regulation Set A,Tatsugiri-Stretchy (F),Tatsugiri (Stretchy Form),Dragon,Water,Commander,Water,Timid,475,68,50,60,120,95,82
166,28,Regulation Set A,Meowscarada (M),Meowscarada,Grass,Dark,Protean,Grass,Jolly,530,76,110,70,81,70,123
167,28,Regulation Set A,Dondozo (F),Dondozo,Water,,Unaware,Flying,Adamant,530,150,100,115,65,65,35
168,29,Regulation Set A,Bigsharp (Kingambit) (M),Kingambit,Dark,Steel,Defiant,Water,Adamant,550,100,135,120,60,85,50
169,29,Regulation Set A,Salazzle,Salazzle,Poison,Fire,Oblivious,Fire,Timid,480,68,64,60,111,60,117
170,29,Regulation Set A,Amoonguss (M),Amoonguss,Grass,Poison,Regenerator,Dark,Calm,464,114,85,70,85,80,30
171,29,Regulation Set A,Mimikyu (F),Mimikyu,Ghost,Fairy,Disguise,Ghost,Adamant,476,55,90,80,50,105,96
172,29,Regulation Set A,Baxcalibur (F),Baxcalibur,Dragon,Ice,Thermal Exchange,Water,Adamant,600,115,145,92,75,86,87
173,29,Regulation Set A,Robert (Tauros-Paldea-Water),Tauros (Aqua Breed),Fighting,Water,Intimidate,Steel,Jolly,490,75,110,105,30,70,100
174,30,Regulation Set A,Hydreigon (F),Hydreigon,Dark,Dragon,Levitate,Fire,Timid,600,92,105,90,125,90,98
175,30,Regulation Set A,Medicham (M),Medicham,Fighting,Psychic,Pure Power,Fighting,Adamant,410,60,60,75,60,75,80
176,30,Regulation Set A,Gyarados (F),Gyarados,Water,Flying,Intimidate,Flying,Adamant,540,95,125,79,60,100,81
177,30,Regulation Set A,Kingambit (M),Kingambit,Dark,Steel,Defiant,Water,Adamant,550,100,135,120,60,85,50
178,30,Regulation Set A,Mimikyu (F),Mimikyu,Ghost,Fairy,Disguise,Ghost,Adamant,476,55,90,80,50,105,96
179,30,Regulation Set A,Amoonguss (F),Amoonguss,Grass,Poison,Regenerator,Dark,Relaxed,464,114,85,70,85,80,30
180,31,Regulation Set A,Talonflame (F),Talonflame,Fire,Flying,Gale Wings,Ground,Naive,499,78,81,71,74,69,126
181,31,Regulation Set A,Maushold,Maushold (Family of Three),Normal,,Technician,Ghost,Jolly,470,74,75,70,65,75,111
182,31,Regulation Set A,Sylveon (F),Sylveon,Fairy,,Pixilate,Water,Modest,525,95,65,65,110,130,60
183,31,Regulation Set A,Annihilape (M),Annihilape,Fighting,Ghost,Defiant,Fire,Jolly,535,110,115,80,50,90,90
184,31,Regulation Set A,Armarouge (F),Armarouge,Fire,Psychic,Flash Fire,Dark,Bold,525,85,60,100,125,80,75
185,31,Regulation Set A,Meowscarada (F),Meowscarada,Grass,Dark,Overgrow,Ghost,Jolly,530,76,110,70,81,70,123
186,32,Regulation Set A,Dragonite,Dragonite,Dragon,Flying,Multiscale,Normal,Adamant,600,91,134,95,100,100,80
187,32,Regulation Set A,Gholdengo,Gholdengo,Steel,Ghost,Good as Gold,Steel,Modest,550,87,60,95,133,91,84
188,32,Regulation Set A,Azumarill,Azumarill,Water,Fairy,Huge Power,Grass,Adamant,420,100,50,80,60,80,50
189,32,Regulation Set A,Meowscarada,Meowscarada,Grass,Dark,Overgrow,Grass,Jolly,530,76,110,70,81,70,123
190,32,Regulation Set A,Skeledirge,Skeledirge,Fire,Ghost,Unaware,Fairy,Modest,530,104,75,100,110,75,66
191,32,Regulation Set A,Maushold-Four,Maushold (Family of Four),Normal,,Friend Guard,Ghost,Bold,470,74,75,70,65,75,111
192,33,Regulation Set A,Tauros-Paldea-Water,Tauros (Aqua Breed),Fighting,Water,Intimidate,Water,Jolly,490,75,110,105,30,70,100
193,33,Regulation Set A,Hydreigon,Hydreigon,Dark,Dragon,Levitate,Steel,Timid,600,92,105,90,125,90,98
194,33,Regulation Set A,Amoonguss,Amoonguss,Grass,Poison,Regenerator,Dark,Bold,464,114,85,70,85,80,30
195,33,Regulation Set A,Talonflame,Talonflame,Fire,Flying,Gale Wings,Flying,Jolly,499,78,81,71,74,69,126
196,33,Regulation Set A,Gholdengo,Gholdengo,Steel,Ghost,Good as Gold,Steel,Modest,550,87,60,95,133,91,84
197,33,Regulation Set A,Glimmora,Glimmora,Rock,Poison,Toxic Debris,Grass,Timid,525,83,55,90,130,81,86
198,34,Regulation Set A,Rotom-Wash,Rotom (Wash Rotom),Electric,Water,Levitate,Electric,Modest,520,50,65,107,105,107,86
199,34,Regulation Set A,Meowscarada,Meowscarada,Grass,Dark,Overgrow,Grass,Jolly,530,76,110,70,81,70,123
200,34,Regulation Set A,Tauros-Paldea-Fire,Tauros (Blaze Breed),Fighting,Fire,Intimidate,Fire,Jolly,490,75,110,105,30,70,100
201,34,Regulation Set A,Gholdengo,Gholdengo,Steel,Ghost,Good as Gold,Water,Modest,550,87,60,95,133,91,84
202,34,Regulation Set A,Grimmsnarl,Grimmsnarl,Dark,Fairy,Prankster,Steel,Careful,510,95,120,65,95,75,60
203,34,Regulation Set A,Dragonite,Dragonite,Dragon,Flying,Inner Focus,Normal,Adamant,600,91,134,95,100,100,80
204,35,Regulation Set A,Garganacl,Garganacl,Rock,,Purifying Salt,Fire,Impish,500,100,100,130,45,90,35
205,35,Regulation Set A,Espathra,Espathra,Psychic,,Opportunist,Fairy,Timid,481,95,60,60,101,60,105
206,35,Regulation Set A,Tinkaton,Tinkaton,Fairy,Steel,Mold Breaker,Steel,Jolly,506,85,75,77,70,105,94
207,35,Regulation Set A,Volcarona,Volcarona,Bug,Fire,Flame Body,Grass,Timid,550,85,60,65,135,105,100
208,35,Regulation Set A,Quaquaval,Quaquaval,Water,Fighting,Moxie,Steel,Adamant,530,85,120,80,85,75,85
209,35,Regulation Set A,Hydreigon,Hydreigon,Dark,Dragon,Levitate,Steel,Modest,600,92,105,90,125,90,98
211,36,Regulation Set A,Tyranitar,Tyranitar,Rock,Dark,Sand Stream,Flying,Adamant,600,100,134,110,95,100,61
212,36,Regulation Set A,Garchomp,Garchomp,Dragon,Ground,Rough Skin,Ground,Jolly,600,108,130,95,80,85,102
213,36,Regulation Set A,Indeedee-F,Indeedee (Female),Psychic,Normal,Psychic Surge,Fairy,Bold,475,70,55,65,95,105,85
214,36,Regulation Set A,Hydreigon,Hydreigon,Dark,Dragon,Levitate,Steel,Modest,600,92,105,90,125,90,98
215,36,Regulation Set A,Talonflame,Talonflame,Fire,Flying,Gale Wings,Ground,Jolly,499,78,81,71,74,69,126
216,37,Regulation Set A,Murkrow,Murkrow,Dark,Flying,Prankster,Dark,Bold,405,60,85,42,85,42,91
217,37,Regulation Set A,Azumarill,Azumarill,Water,Fairy,Huge Power,Water,Adamant,420,100,50,80,60,80,50
218,37,Regulation Set A,Amoonguss,Amoonguss,Grass,Poison,Regenerator,Water,Relaxed,464,114,85,70,85,80,30
